,alpha_gross_units,units,abs_pct_err,abs_err
22DS8Y7,0.0,0.0,0.0,0.0
23JMY6B,0.0,0.0,0.0,0.0
24GSHGG,0.0,0.0,0.0,0.0
24HBXNH,1.0,0.0,0.5,1.0
25BEK49,0.0,0.0,0.0,0.0
25JKP8Y,1.0,1.0,0.0,0.0
27C2VTH,0.0,0.0,0.0,0.0
27URAZH,3.0,4.0,0.25,1.0
2AMPNPD,0.0,0.0,0.0,0.0
2CUGAG7,0.0,0.0,0.0,0.0
2D7QFGF,0.0,0.0,0.0,0.0
2E47PQF,0.0,0.0,0.0,0.0
2EHS6EZ,3.0,2.0,0.25,1.0
2F8KGQD,0.0,0.0,0.0,0.0
2F9AAM8,0.0,0.0,0.0,0.0
2FGE6UW,0.0,0.0,0.0,0.0
2G5M35Q,6.0,2.0,0.5714285714285714,4.0
2GDDQAQ,1123.0,565.0,0.49644128113879005,558.0
2GDRFV6,0.0,0.0,0.0,0.0
2GGT5AE,0.0,0.0,0.0,0.0
2GUW4MH,2.0,0.0,0.6666666666666666,2.0
2H2UHFZ,3262.0,1539.0,0.5280416794361017,1723.0
2H4AAPM,132.0,86.0,0.3458646616541353,46.0
2H9CY7Y,3465.0,1174.0,0.6609924985574149,2291.0
2HGTSZN,0.0,0.0,0.0,0.0
2HGWZH3,0.0,0.0,0.0,0.0
2HRSQB8,0.0,0.0,0.0,0.0
2JQCTYV,0.0,0.0,0.0,0.0
2JZCTQ3,0.0,0.0,0.0,0.0
2KEPQK6,0.0,0.0,0.0,0.0
2NTWAGX,0.0,0.0,0.0,0.0
2QQXKWK,0.0,0.0,0.0,0.0
2TDA8KY,0.0,0.0,0.0,0.0
2VUZ2F8,1050.0,340.0,0.6755470980019029,710.0
2WUYXUJ,125.0,210.0,0.6746031746031746,85.0
2YGSART,0.0,0.0,0.0,0.0
2YNXH8J,0.0,0.0,0.0,0.0
2YQBCS3,0.0,0.0,0.0,0.0
2YQY9GY,0.0,0.0,0.0,0.0
2YWBZMW,0.0,0.0,0.0,0.0
2Z9FSQG,4.0,1.0,0.6,3.0
2ZD6GY6,51.0,53.0,0.038461538461538464,2.0
32YBPYH,0.0,0.0,0.0,0.0
33KFUFY,0.0,0.0,0.0,0.0
33SE3BA,0.0,0.0,0.0,0.0
34YGMDR,3140.0,1800.0,0.42661572747532633,1340.0
35TZQQH,2351.0,1135.0,0.5170068027210885,1216.0
36DQWTT,55.0,11.0,0.7857142857142857,44.0
37QFQGK,5.0,3.0,0.3333333333333333,2.0
389GDMP,9357.0,7099.0,0.24129087411840136,2258.0
38GKKHJ,0.0,0.0,0.0,0.0
38NGPNM,0.0,0.0,0.0,0.0
3A7CF6R,0.0,0.0,0.0,0.0
3BBYAKQ,0.0,0.0,0.0,0.0
3BZZNEW,0.0,0.0,0.0,0.0
3DSAYEE,3.0,1.0,0.5,2.0
3FZHRPX,3244.0,1835.0,0.43420647149460706,1409.0
3GAGANG,0.0,0.0,0.0,0.0
3GYDFD2,1.0,1.0,0.0,0.0
3GZQQYT,0.0,0.0,0.0,0.0
3HACR72,5.0,17.0,2.0,12.0
3HEVRZW,0.0,0.0,0.0,0.0
3HGB2CZ,15.0,2.0,0.8125,13.0
3JRWBBB,0.0,0.0,0.0,0.0
3JZJHTB,1533.0,837.0,0.45371577574967403,696.0
3KHZPH3,25.0,15.0,0.38461538461538464,10.0
3KZ8FNE,0.0,0.0,0.0,0.0
3KZKETA,0.0,0.0,0.0,0.0
3KZXNWF,456.0,580.0,0.2713347921225383,124.0
3MK7AUG,0.0,0.0,0.0,0.0
3ND5HVR,0.0,0.0,0.0,0.0
3NJDHJ2,0.0,0.0,0.0,0.0
3PHHNDH,58.0,67.0,0.15254237288135594,9.0
3PWSVWG,0.0,0.0,0.0,0.0
3PYCBZF,0.0,0.0,0.0,0.0
3RQHPXJ,0.0,0.0,0.0,0.0
3RR9KCJ,0.0,0.0,0.0,0.0
3SAHJPS,0.0,0.0,0.0,0.0
3SQEVZE,0.0,0.0,0.0,0.0
3STRKZS,152.0,99.0,0.3464052287581699,53.0
3SYNHQ6,2.0,1.0,0.3333333333333333,1.0
3T6YGMR,125.0,191.0,0.5238095238095238,66.0
3TFMPAH,0.0,0.0,0.0,0.0
3TG3RFJ,0.0,0.0,0.0,0.0
3UGCJUZ,0.0,0.0,0.0,0.0
3UYTKYB,0.0,0.0,0.0,0.0
3UZHMEQ,1409.0,628.0,0.5539007092198581,781.0
3V8UHAS,1.0,0.0,0.5,1.0
3VPFFUZ,0.0,0.0,0.0,0.0
3WF3PKC,0.0,0.0,0.0,0.0
3WG6Z8F,0.0,0.0,0.0,0.0
3XA4WZV,379.0,57.0,0.8473684210526315,322.0
3XAHTZH,0.0,0.0,0.0,0.0
3XPKDPN,865.0,240.0,0.7217090069284064,625.0
3YC3GNC,0.0,0.0,0.0,0.0
3YW92NY,0.0,0.0,0.0,0.0
3YXBNGG,0.0,0.0,0.0,0.0
3YYRXHD,0.0,0.0,0.0,0.0
3ZCDZZ7,5888.0,3825.0,0.3503141450161318,2063.0
3ZFZMRF,0.0,0.0,0.0,0.0
3ZM4UET,0.0,0.0,0.0,0.0
3ZPYHXT,0.0,0.0,0.0,0.0
427C8DZ,0.0,0.0,0.0,0.0
44HUDGY,0.0,0.0,0.0,0.0
45TEDSJ,0.0,0.0,0.0,0.0
47JDXW2,0.0,0.0,0.0,0.0
47WHAZJ,0.0,0.0,0.0,0.0
49WM2TC,0.0,2.0,2.0,2.0
49YV62E,0.0,0.0,0.0,0.0
4AEQGFH,3.0,1.0,0.5,2.0
4BZ6PD6,0.0,0.0,0.0,0.0
4BZRXFD,0.0,0.0,0.0,0.0
4CAF5ZQ,0.0,0.0,0.0,0.0
4CHK2YS,271.0,271.0,0.0,0.0
4DA7ZPF,0.0,0.0,0.0,0.0
4DX89AQ,0.0,0.0,0.0,0.0
4ETJ2YY,0.0,0.0,0.0,0.0
